,Capital Region,,Central New York Region,,Finger Lakes Region,,Hudson Valley Region,,Long Island Region,,Mohawk Valley Region,,New York City Region,,New York State,,North Country Region,,Southern Tier Region,,Western New York Region,
SOC_CODE,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability
43-5032,720,0.96,730,0.96,670,0.96,1220,0.96,1250,0.96,170,0.96,5020,0.96,11500,0.96,90,0.96,290,0.96,820,0.96
43-5041,60,0.85,,,,,130,0.85,0,0.85,0,0.85,840,0.85,1590,0.85,30,0.85,60,0.85,,
43-5051,410,0.95,270,0.95,350,0.95,860,0.95,980,0.95,220,0.95,2140,0.95,6090,0.95,270,0.95,250,0.95,340,0.95
43-5052,1160,0.68,920,0.68,1380,0.68,2720,0.68,3770,0.68,550,0.68,9060,0.68,22430,0.68,460,0.68,740,0.68,1670,0.68
43-5053,510,0.79,380,0.79,580,0.79,940,0.79,1950,0.79,0,0.79,4750,0.79,9540,0.79,20,0.79,0,0.79,340,0.79
43-5061,1230,0.88,910,0.88,1900,0.88,1970,0.88,3260,0.88,300,0.88,13670,0.88,26120,0.88,180,0.88,720,0.88,1600,0.88
43-5071,1680,0.98,1540,0.98,2370,0.98,3490,0.98,6760,0.98,800,0.98,12000,0.98,33150,0.98,540,0.98,1090,0.98,2690,0.98
43-5081,6020,0.64,5420,0.64,6470,0.64,17860,0.64,20690,0.64,2150,0.64,38690,0.64,112890,0.64,2000,0.64,3570,0.64,9010,0.64
43-5111,60,0.95,140,0.95,180,0.95,160,0.95,300,0.95,90,0.95,850,0.95,2170,0.95,20,0.95,130,0.95,210,0.95
43-6011,4080,0.86,1550,0.86,2660,0.86,7320,0.86,9620,0.86,740,0.86,51870,0.86,82810,0.86,400,0.86,1090,0.86,2970,0.86
43-6012,580,0.98,430,0.98,680,0.98,1010,0.98,1900,0.98,0,0.98,8340,0.98,14840,0.98,90,0.98,150,0.98,1130,0.98
43-6013,770,0.81,850,0.81,980,0.81,1130,0.81,1490,0.81,260,0.81,4520,0.81,11720,0.81,120,0.81,190,0.81,1370,0.81
43-6014,11600,0.96,6950,0.96,13460,0.96,21850,0.96,31620,0.96,3680,0.96,86170,0.96,197930,0.96,3010,0.96,6520,0.96,12310,0.96
43-9011,360,0.78,0,0.78,260,0.78,620,0.78,670,0.78,60,0.78,1800,0.78,4420,0.78,20,0.78,150,0.78,250,0.78
43-9021,1100,0.99,390,0.99,580,0.99,1110,0.99,2250,0.99,150,0.99,5680,0.99,12770,0.99,140,0.99,310,0.99,770,0.99
43-9022,1740,0.81,960,0.81,1000,0.81,2710,0.81,4050,0.81,500,0.81,1770,0.81,15720,0.81,570,0.81,560,0.81,1780,0.81
43-9031,0,0.16,0,0.16,0,0.16,0,0.16,0,0.16,,,590,0.16,780,0.16,,,,,,
43-9041,1020,0.98,470,0.98,430,0.98,800,0.98,1900,0.98,200,0.98,4050,0.98,10830,0.98,0,0.98,290,0.98,1310,0.98
43-9051,570,0.94,180,0.94,320,0.94,500,0.94,1420,0.94,110,0.94,4450,0.94,8290,0.94,110,0.94,170,0.94,430,0.94
43-9061,12270,0.96,6440,0.96,9380,0.96,18190,0.96,25590,0.96,3220,0.96,92450,0.96,188250,0.96,2590,0.96,4820,0.96,11800,0.96
43-9071,200,0.92,200,0.92,220,0.92,850,0.92,470,0.92,0,0.92,1670,0.92,4400,0.92,20,0.92,110,0.92,190,0.92
43-9081,70,0.84,0,0.84,0,0.84,0,0.84,0,0.84,,,820,0.84,1400,0.84,,,,,50,0.84
43-9111,0,0.66,0,0.66,,,0,0.66,0,0.66,,,490,0.66,650,0.66,,,0,0.66,0,0.66
45-1011,0,0.57,0,0.57,0,0.57,0,0.57,0,0.57,0,0.57,,,0,0.57,,,0,0.57,0,0.57
45-2011,,,,,,,0,0.94,0,0.94,,,0,0.94,,,0,0.94,,,,
45-2041,,,,,0,0.41,,,,,,,,,0,0.41,,,,,,
45-4011,,,0,0.87,,,,,,,,,,,0,0.87,,,,,0,0.87
45-4021,0,0.76,,,,,,,,,,,,,0,0.76,,,,,,
45-4022,60,0.79,0,0.79,,,,,,,0,0.79,,,380,0.79,170,0.79,0,0.79,0,0.79
45-4023,0,0.97,,,,,,,,,,,,,0,0.97,,,0,0.97,,
47-1011,1560,0.17,1130,0.17,1280,0.17,2910,0.17,4200,0.17,370,0.17,8400,0.17,23530,0.17,560,0.17,630,0.17,1820,0.17
47-2011,80,0.68,,,,,,,0,0.68,,,0,0.68,320,0.68,,,,,,
47-2021,330,0.82,260,0.82,300,0.82,570,0.82,1020,0.82,0,0.82,3280,0.82,6300,0.82,40,0.82,0,0.82,430,0.82
47-2022,0,0.89,,,,,0,0.89,920,0.89,,,0,0.89,1680,0.89,,,,,,
47-2031,2810,0.72,2080,0.72,2830,0.72,7600,0.72,10730,0.72,960,0.72,15640,0.72,48240,0.72,890,0.72,1330,0.72,2750,0.72
47-2041,,,,,0,0.87,,,220,0.87,0,0.87,,,1350,0.87,,,,,,
47-2042,,,,,0,0.79,,,,,,,,,470,0.79,,,,,0,0.79
47-2043,,,,,,,,,,,,,0,0.87,0,0.87,,,,,,
47-2044,110,0.75,160,0.75,,,150,0.75,390,0.75,,,0,0.75,1890,0.75,,,90,0.75,80,0.75
47-2051,230,0.94,150,0.94,350,0.94,1100,0.94,1730,0.94,140,0.94,3290,0.94,7640,0.94,40,0.94,90,0.94,500,0.94
47-2053,,,,,,,,,,,,,,,0,0.88,,,,,,
47-2061,3770,0.88,2100,0.88,3510,0.88,9490,0.88,12680,0.88,1260,0.88,20250,0.88,61070,0.88,1310,0.88,1630,0.88,4580,0.88
47-2071,0,0.83,0,0.83,0,0.83,,,220,0.83,70,0.83,610,0.83,2030,0.83,0,0.83,,,200,0.83
47-2072,,,,,,,,,,,,,0,0.82,,,,,,,,
47-2073,1320,0.95,600,0.95,840,0.95,2240,0.95,2090,0.95,400,0.95,1920,0.95,11940,0.95,480,0.95,620,0.95,1120,0.95
47-2081,190,0.79,0,0.79,210,0.79,380,0.79,650,0.79,50,0.79,1120,0.79,3110,0.79,0,0.79,100,0.79,280,0.79
47-2082,0,0.62,,,0,0.62,150,0.62,230,0.62,,,310,0.62,940,0.62,,,,,0,0.62
47-2111,2360,0.15,1150,0.15,1970,0.15,4040,0.15,5740,0.15,340,0.15,20110,0.15,40310,0.15,570,0.15,780,0.15,2500,0.15
47-2121,110,0.73,0,0.73,140,0.73,0,0.73,470,0.73,0,0.73,1110,0.73,2760,0.73,,,0,0.73,270,0.73
47-2131,70,0.83,0,0.83,0,0.83,0,0.83,0,0.83,,,0,0.83,800,0.83,,,0,0.83,0,0.83
47-2132,200,0.64,130,0.64,150,0.64,,,240,0.64,,,0,0.64,1110,0.64,,,0,0.64,0,0.64
47-2141,590,0.75,420,0.75,790,0.75,1640,0.75,2610,0.75,120,0.75,5720,0.75,13370,0.75,150,0.75,250,0.75,950,0.75
47-2142,,,,,,,,,,,,,0,0.87,360,0.87,,,,,,
47-2151,60,0.62,0,0.62,50,0.62,0,0.62,0,0.62,,,0,0.62,680,0.62,,,,,50,0.62
47-2152,1120,0.35,970,0.35,1330,0.35,3600,0.35,5990,0.35,190,0.35,12290,0.35,28340,0.35,220,0.35,530,0.35,1810,0.35
47-2161,,,60,0.84,,,0,0.84,0,0.84,,,510,0.84,660,0.84,,,,,0,0.84
47-2171,,,,,,,,,,,,,450,0.9,750,0.9,,,,,,
47-2181,410,0.9,400,0.9,470,0.9,470,0.9,610,0.9,170,0.9,1620,0.9,5070,0.9,130,0.9,250,0.9,520,0.9
47-2211,380,0.82,80,0.82,670,0.82,,,1650,0.82,0,0.82,3160,0.82,8110,0.82,,,0,0.82,840,0.82
47-2221,0,0.83,140,0.83,0,0.83,1210,0.83,1290,0.83,,,2160,0.83,5710,0.83,0,0.83,,,260,0.83
47-3011,0,0.83,0,0.83,0,0.83,0,0.83,350,0.83,,,670,0.83,1280,0.83,,,,,,
47-3012,50,0.92,90,0.92,50,0.92,220,0.92,0,0.92,0,0.92,430,0.92,1270,0.92,,,0,0.92,0,0.92
47-3013,60,0.74,,,0,0.74,610,0.74,560,0.74,0,0.74,3530,0.74,5200,0.74,50,0.74,,,140,0.74
47-3014,0,0.94,,,,,,,,,,,0,0.94,290,0.94,,,,,0,0.94
47-3015,0,0.57,50,0.57,70,0.57,360,0.57,480,0.57,,,1790,0.57,3020,0.57,,,,,150,0.57
47-3016,,,,,,,,,,,,,,,0,0.72,,,,,0,0.72
47-4011,470,0.63,340,0.63,530,0.63,960,0.63,1030,0.63,240,0.63,2550,0.63,7240,0.63,170,0.63,290,0.63,640,0.63
47-4021,0,0.39,0,0.39,0,0.39,,,180,0.39,,,3270,0.39,3850,0.39,,,,,120,0.39
47-4031,,,80,0.92,,,0,0.92,0,0.92,,,0,0.92,,,,,,,,
47-4041,280,0.53,170,0.53,210,0.53,620,0.53,430,0.53,110,0.53,2780,0.53,4980,0.53,,,70,0.53,300,0.53
47-4051,2110,0.87,1220,0.87,1640,0.87,2690,0.87,1400,0.87,1090,0.87,,,14880,0.87,1170,0.87,1480,0.87,2000,0.87
47-4061,,,,,,,,,,,,,,,2330,0.89,,,,,,
47-4071,80,0.83,170,0.83,0,0.83,0,0.83,230,0.83,,,,,1410,0.83,0,0.83,0,0.83,100,0.83
47-5012,,,,,,,,,,,,,,,0,0.53,,,,,0,0.53
47-5013,,,,,,,,,,,,,,,0,0.93,,,,,0,0.93
47-5021,0,0.85,,,0,0.85,0,0.85,220,0.85,0,0.85,0,0.85,460,0.85,0,0.85,0,0.85,0,0.85
47-5031,,,,,,,,,,,,,0,0.48,0,0.48,,,,,,
47-5041,0,0.54,0,0.54,0,0.54,0,0.54,,,,,,,0,0.54,,,60,0.54,0,0.54
47-5042,,,,,,,,,,,,,,,0,0.59,0,0.59,,,,
47-5051,0,0.96,,,,,,,,,,,,,0,0.96,,,0,0.96,,
47-5071,,,,,,,,,,,,,,,0,0.68,,,,,0,0.68
47-5081,,,,,,,,,,,,,,,0,0.37,,,,,,
49-1011,1750,0.003,1390,0.003,1660,0.003,2760,0.003,3550,0.003,700,0.003,10070,0.003,25590,0.003,530,0.003,910,0.003,2080,0.003
49-2011,410,0.74,260,0.74,650,0.74,550,0.74,1400,0.74,80,0.74,2770,0.74,6930,0.74,50,0.74,120,0.74,610,0.74
49-2021,0,0.93,,,,,,,,,,,,,270,0.93,,,,,,
49-2022,870,0.36,550,0.36,400,0.36,990,0.36,1830,0.36,210,0.36,4890,0.36,11100,0.36,170,0.36,560,0.36,410,0.36
49-2091,,,,,,,,,0,0.7,,,0,0.7,0,0.7,,,0,0.7,,
49-2092,0,0.76,0,0.76,0,0.76,0,0.76,170,0.76,0,0.76,0,0.76,490,0.76,,,0,0.76,60,0.76
49-2093,,,,,,,,,,,,,510,0.91,960,0.91,,,,,,
49-2094,240,0.41,200,0.41,230,0.41,140,0.41,250,0.41,0,0.41,0,0.41,2000,0.41,60,0.41,110,0.41,310,0.41
49-2095,,,,,0,0.38,220,0.38,,,70,0.38,1480,0.38,2110,0.38,50,0.38,,,50,0.38
49-2096,,,,,,,0,0.61,0,0.61,,,0,0.61,590,0.61,,,,,0,0.61
49-2097,80,0.65,70,0.65,100,0.65,0,0.65,350,0.65,,,600,0.65,1500,0.65,30,0.65,60,0.65,0,0.65
49-2098,290,0.82,130,0.82,190,0.82,500,0.82,1070,0.82,80,0.82,2030,0.82,4690,0.82,70,0.82,0,0.82,210,0.82
49-3011,130,0.71,50,0.71,90,0.71,240,0.71,290,0.71,,,1900,0.71,3080,0.71,0,0.71,100,0.71,150,0.71
49-3021,530,0.91,410,0.91,610,0.91,1550,0.91,1590,0.91,190,0.91,1290,0.91,7150,0.91,70,0.91,210,0.91,700,0.91
49-3022,0,0.55,,,0,0.55,,,,,,,0,0.55,930,0.55,,,,,170,0.55
49-3023,2710,0.59,2060,0.59,3020,0.59,5590,0.59,6980,0.59,1290,0.59,7180,0.59,34810,0.59,990,0.59,1510,0.59,3340,0.59
49-3031,860,0.73,980,0.73,910,0.73,1250,0.73,2120,0.73,420,0.73,4610,0.73,13300,0.73,450,0.73,450,0.73,910,0.73
49-3041,50,0.75,130,0.75,100,0.75,0,0.75,,,,,,,570,0.75,70,0.75,50,0.75,,
49-3042,340,0.4,310,0.4,250,0.4,320,0.4,440,0.4,90,0.4,340,0.4,2710,0.4,100,0.4,140,0.4,360,0.4
49-3043,,,,,,,,,,,,,,,1400,0.88,,,130,0.88,,
49-3051,120,0.66,0,0.66,230,0.66,,,400,0.66,0,0.66,0,0.66,1260,0.66,140,0.66,0,0.66,0,0.66
49-3052,80,0.79,,,0,0.79,120,0.79,0,0.79,,,,,650,0.79,,,0,0.79,70,0.79
49-3053,150,0.93,150,0.93,0,0.93,170,0.93,320,0.93,,,0,0.93,1480,0.93,0,0.93,120,0.93,190,0.93
49-3091,,,,,,,,,,,,,0,0.94,370,0.94,,,,,0,0.94
49-3092,,,0,0.59,,,,,,,0,0.59,,,0,0.59,30,0.59,,,0,0.59
49-3093,0,0.7,320,0.7,0,0.7,980,0.7,180,0.7,0,0.7,0,0.7,2200,0.7,0,0.7,120,0.7,170,0.7
49-9011,,,,,0,0.91,0,0.91,0,0.91,,,,,0,0.91,,,,,0,0.91
49-9012,420,0.63,280,0.63,480,0.63,340,0.63,560,0.63,50,0.63,1640,0.63,4310,0.63,70,0.63,110,0.63,370,0.63
49-9021,1030,0.65,800,0.65,1310,0.65,1490,0.65,3690,0.65,410,0.65,5520,0.65,15920,0.65,200,0.65,520,0.65,840,0.65
49-9031,180,0.72,0,0.72,290,0.72,0,0.72,880,0.72,0,0.72,1330,0.72,3330,0.72,,,0,0.72,0,0.72
49-9041,1080,0.67,980,0.67,1170,0.67,1260,0.67,1120,0.67,420,0.67,1210,0.67,9860,0.67,350,0.67,730,0.67,1510,0.67
49-9043,330,0.86,280,0.86,330,0.86,430,0.86,480,0.86,140,0.86,480,0.86,3410,0.86,160,0.86,160,0.86,600,0.86
49-9044,150,0.59,60,0.59,70,0.59,,,,,0,0.59,270,0.59,920,0.59,,,,,200,0.59
49-9045,,,,,,,,,,,,,,,0,0.82,,,,,,
49-9051,300,0.097,310,0.097,170,0.097,870,0.097,780,0.097,130,0.097,,,5000,0.097,320,0.097,380,0.097,250,0.097
49-9052,690,0.49,370,0.49,380,0.49,1010,0.49,860,0.49,80,0.49,4750,0.49,8900,0.49,0,0.49,210,0.49,340,0.49
49-9061,,,,,,,,,0,0.97,,,0,0.97,,,,,,,,
49-9062,150,0.27,70,0.27,150,0.27,,,270,0.27,0,0.27,720,0.27,2150,0.27,20,0.27,60,0.27,210,0.27
49-9063,,,,,,,0,0.91,130,0.91,0,0.91,,,580,0.91,0,0.91,,,0,0.91
49-9064,,,,,,,,,,,,,0,0.99,0,0.99,,,,,,
49-9071,5170,0.64,3590,0.64,6030,0.64,11010,0.64,11640,0.64,2060,0.64,50480,0.64,102190,0.64,2070,0.64,2830,0.64,6930,0.64
49-9091,0,0.94,160,0.94,170,0.94,,,260,0.94,,,500,0.94,1700,0.94,60,0.94,0,0.94,210,0.94
49-9092,,,,,,,,,,,,,,,0,0.18,,,,,,
49-9094,60,0.77,0,0.77,0,0.77,0,0.77,0,0.77,,,630,0.77,1110,0.77,0,0.77,0,0.77,0,0.77
49-9095,,,,,,,,,,,,,,,0,0.18,,,0,0.18,,
49-9096,,,,,,,0,0.89,0,0.89,,,0,0.89,0,0.89,,,0,0.89,,
49-9097,,,,,,,,,,,,,,,1060,0.9,,,,,,
49-9098,470,0.79,270,0.79,200,0.79,520,0.79,1070,0.79,190,0.79,1560,0.79,4960,0.79,60,0.79,180,0.79,320,0.79
51-1011,1720,0.016,1690,0.016,3050,0.016,2930,0.016,4290,0.016,790,0.016,6140,0.016,26240,0.016,620,0.016,1530,0.016,3430,0.016
51-2011,,,,,,,,,,,,,0,0.79,0,0.79,,,,,,
51-2021,,,,,0,0.73,0,0.73,0,0.73,0,0.73,,,510,0.73,,,,,150,0.73
51-2022,240,0.95,1250,0.95,1910,0.95,710,0.95,1860,0.95,0,0.95,1020,0.95,10530,0.95,,,1650,0.95,1600,0.95
51-2023,110,0.97,,,130,0.97,110,0.97,320,0.97,0,0.97,,,1390,0.97,40,0.97,60,0.97,390,0.97
51-2031,,,,,,,,,,,,,,,420,0.82,,,0,0.82,0,0.82
51-2041,0,0.41,160,0.41,170,0.41,0,0.41,320,0.41,70,0.41,760,0.41,2000,0.41,50,0.41,120,0.41,210,0.41
51-2091,,,,,,,,,,,,,,,0,0.93,,,,,90,0.93
51-2092,4430,0.97,2240,0.97,4770,0.97,3440,0.97,5470,0.97,1720,0.97,4910,0.97,39090,0.97,1610,0.97,3490,0.97,6750,0.97
51-2093,,,,,,,,,,,,,,,0,0.98,,,,,,
51-3011,800,0.89,410,0.89,340,0.89,1460,0.89,1280,0.89,210,0.89,4360,0.89,10180,0.89,130,0.89,260,0.89,930,0.89
51-3021,260,0.93,140,0.93,340,0.93,950,0.93,920,0.93,,,1870,0.93,5090,0.93,110,0.93,140,0.93,260,0.93
51-3022,120,0.94,100,0.94,70,0.94,780,0.94,280,0.94,,,1260,0.94,2920,0.94,0,0.94,60,0.94,150,0.94
51-3023,0,0.6,,,0,0.6,230,0.6,,,,,0,0.6,910,0.6,,,,,0,0.6
51-3091,,,0,0.91,0,0.91,100,0.91,0,0.91,0,0.91,0,0.91,520,0.91,,,0,0.91,0,0.91
51-3092,330,0.7,230,0.7,740,0.7,830,0.7,1280,0.7,490,0.7,2410,0.7,7840,0.7,290,0.7,320,0.7,910,0.7
51-3093,0,0.61,0,0.61,220,0.61,,,470,0.61,0,0.61,790,0.61,2180,0.61,,,,,430,0.61
51-4011,90,0.86,390,0.86,880,0.86,250,0.86,820,0.86,,,0,0.86,4620,0.86,50,0.86,510,0.86,910,0.86
51-4012,0,0.36,100,0.36,260,0.36,0,0.36,160,0.36,50,0.36,0,0.36,1160,0.36,,,70,0.36,330,0.36
51-4021,,,350,0.91,0,0.91,160,0.91,100,0.91,0,0.91,0,0.91,1250,0.91,,,0,0.91,0,0.91
51-4022,,,0,0.93,80,0.93,0,0.93,0,0.93,0,0.93,,,290,0.93,,,,,,
51-4023,0,0.83,,,180,0.83,,,0,0.83,,,,,430,0.83,,,0,0.83,90,0.83
51-4031,220,0.78,110,0.78,450,0.78,410,0.78,690,0.78,200,0.78,860,0.78,4210,0.78,40,0.78,230,0.78,980,0.78
51-4032,0,0.94,0,0.94,120,0.94,,,0,0.94,0,0.94,,,440,0.94,,,50,0.94,60,0.94
51-4033,0,0.95,170,0.95,420,0.95,100,0.95,280,0.95,200,0.95,0,0.95,2070,0.95,,,160,0.95,510,0.95
51-4034,0,0.84,180,0.84,460,0.84,,,0,0.84,0,0.84,0,0.84,1400,0.84,,,80,0.84,390,0.84
51-4035,,,,,120,0.98,,,130,0.98,,,0,0.98,540,0.98,,,0,0.98,160,0.98
51-4041,900,0.65,1000,0.65,3010,0.65,1260,0.65,2140,0.65,430,0.65,850,0.65,13900,0.65,170,0.65,1180,0.65,2740,0.65
51-4051,,,,,0,0.88,,,,,,,,,530,0.88,,,,,110,0.88
51-4052,,,60,0.87,,,,,,,,,0,0.87,340,0.87,,,,,0,0.87
51-4061,,,,,50,0.93,0,0.93,,,,,0,0.93,0,0.93,,,,,0,0.93
51-4062,,,,,,,,,,,,,,,0,0.9,,,,,0,0.9
51-4071,,,,,,,,,,,,,,,0,0.67,,,,,,
51-4072,150,0.95,410,0.95,780,0.95,400,0.95,300,0.95,330,0.95,0,0.95,3270,0.95,190,0.95,100,0.95,470,0.95
51-4081,200,0.91,290,0.91,600,0.91,150,0.91,460,0.91,90,0.91,0,0.91,2630,0.91,,,0,0.91,560,0.91
51-4111,90,0.84,160,0.84,470,0.84,160,0.84,220,0.84,80,0.84,0,0.84,2540,0.84,,,130,0.84,980,0.84
51-4121,630,0.94,740,0.94,1000,0.94,920,0.94,1260,0.94,290,0.94,1800,0.94,9190,0.94,220,0.94,620,0.94,1600,0.94
51-4122,0,0.61,50,0.61,100,0.61,0,0.61,0,0.61,0,0.61,0,0.61,790,0.61,60,0.61,70,0.61,230,0.61
51-4191,,,0,0.91,140,0.91,0,0.91,110,0.91,90,0.91,0,0.91,740,0.91,,,120,0.91,80,0.91
51-4192,,,0,0.84,,,,,0,0.84,,,,,0,0.84,,,,,0,0.84
51-4193,0,0.92,,,160,0.92,0,0.92,180,0.92,0,0.92,,,1330,0.92,,,500,0.92,220,0.92
51-4194,,,,,0,0.88,,,0,0.88,,,0,0.88,370,0.88,,,,,80,0.88
51-5111,220,0.97,60,0.97,210,0.97,0,0.97,430,0.97,60,0.97,580,0.97,2120,0.97,,,130,0.97,260,0.97
51-5112,660,0.83,370,0.83,1070,0.83,660,0.83,1460,0.83,280,0.83,2960,0.83,8960,0.83,230,0.83,320,0.83,940,0.83
51-5113,200,0.95,90,0.95,260,0.95,0,0.95,430,0.95,70,0.95,350,0.95,1680,0.95,,,130,0.95,110,0.95
51-6011,690,0.71,680,0.71,560,0.71,1430,0.71,2430,0.71,410,0.71,8200,0.71,15650,0.71,170,0.71,240,0.71,760,0.71
51-6021,0,0.81,0,0.81,170,0.81,630,0.81,320,0.81,0,0.81,770,0.81,2320,0.81,,,80,0.81,120,0.81
51-6031,150,0.89,50,0.89,430,0.89,320,0.89,1010,0.89,300,0.89,8570,0.89,11530,0.89,60,0.89,130,0.89,490,0.89
51-6041,,,,,,,,,,,160,0.52,360,0.52,660,0.52,,,,,,
51-6051,0,0.99,,,0,0.99,,,0,0.99,,,280,0.99,990,0.99,,,,,,
51-6052,0,0.84,0,0.84,60,0.84,130,0.84,,,,,780,0.84,,,0,0.84,,,0,0.84
51-6061,,,,,,,,,,,,,0,0.97,0,0.97,,,,,,
51-6062,,,,,,,0,0.95,0,0.95,0,0.95,260,0.95,600,0.95,,,,,80,0.95
51-6063,,,,,,,,,,,90,0.73,290,0.73,790,0.73,,,,,,
51-6064,,,60,0.96,,,0,0.96,,,,,,,310,0.96,,,,,,
51-6091,,,,,0,0.88,,,,,,,,,0,0.88,,,,,,
51-6092,,,,,0,0.0049,,,0,0.0049,,,1060,0.0049,1120,0.0049,,,,,,
51-6093,,,0,0.39,0,0.39,0,0.39,170,0.39,,,800,0.39,1520,0.39,,,,,0,0.39
51-7011,140,0.92,240,0.92,230,0.92,450,0.92,750,0.92,0,0.92,1330,0.92,3540,0.92,30,0.92,0,0.92,280,0.92
51-7021,0,0.87,,,0,0.87,0,0.87,280,0.87,,,0,0.87,870,0.87,,,,,120,0.87
51-7031,,,,,,,,,,,,,,,0,0.96,,,,,,
51-7032,,,,,,,,,,,,,,,0,0.91,,,,,,
51-7041,150,0.86,150,0.86,70,0.86,0,0.86,0,0.86,50,0.86,0,0.86,980,0.86,30,0.86,130,0.86,230,0.86
51-7042,170,0.97,140,0.97,0,0.97,280,0.97,610,0.97,260,0.97,0,0.97,2210,0.97,20,0.97,0,0.97,360,0.97
51-8012,,,,,,,0,0.64,,,,,0,0.64,270,0.64,,,,,,
51-8013,150,0.85,150,0.85,0,0.85,240,0.85,0,0.85,0,0.85,730,0.85,1940,0.85,140,0.85,50,0.85,120,0.85
51-8021,420,0.89,150,0.89,250,0.89,270,0.89,300,0.89,90,0.89,1950,0.89,4030,0.89,,,100,0.89,360,0.89
51-8031,470,0.61,350,0.61,290,0.61,730,0.61,640,0.61,300,0.61,660,0.61,4530,0.61,250,0.61,250,0.61,590,0.61
51-8091,360,0.85,,,,,,,,,,,,,740,0.85,,,,,130,0.85
51-8092,,,,,0,0.78,0,0.78,0,0.78,,,,,260,0.78,,,,,,
51-8093,,,,,,,120,0.71,,,,,,,0,0.71,,,,,0,0.71
51-8099,,,,,,,,,,,,,0,0.86,0,0.86,,,,,,
51-9011,50,0.76,70,0.76,200,0.76,260,0.76,,,,,0,0.76,1930,0.76,0,0.76,,,690,0.76
51-9012,80,0.88,170,0.88,200,0.88,0,0.88,210,0.88,70,0.88,380,0.88,1800,0.88,60,0.88,160,0.88,150,0.88
51-9021,180,0.97,0,0.97,70,0.97,0,0.97,110,0.97,0,0.97,250,0.97,980,0.97,60,0.97,80,0.97,110,0.97
51-9022,60,0.97,110,0.97,140,0.97,0,0.97,130,0.97,0,0.97,550,0.97,1400,0.97,,,50,0.97,140,0.97
51-9023,750,0.83,180,0.83,380,0.83,690,0.83,2230,0.83,150,0.83,1150,0.83,6910,0.83,140,0.83,260,0.83,970,0.83
51-9031,0,0.64,,,0,0.64,0,0.64,100,0.64,,,570,0.64,850,0.64,,,0,0.64,0,0.64
51-9032,210,0.86,70,0.86,480,0.86,170,0.86,320,0.86,0,0.86,400,0.86,2340,0.86,0,0.86,110,0.86,330,0.86
51-9041,520,0.93,0,0.93,190,0.93,0,0.93,460,0.93,50,0.93,270,0.93,2800,0.93,,,230,0.93,670,0.93
51-9051,0,0.37,,,50,0.37,0,0.37,,,,,,,430,0.37,60,0.37,80,0.37,90,0.37
51-9061,1680,0.98,1470,0.98,2880,0.98,2050,0.98,4230,0.98,740,0.98,2970,0.98,21310,0.98,520,0.98,1510,0.98,3070,0.98
51-9071,0,0.95,50,0.95,170,0.95,800,0.95,310,0.95,0,0.95,4190,0.95,5820,0.95,,,0,0.95,180,0.95
51-9081,50,0.97,0,0.97,220,0.97,420,0.97,390,0.97,60,0.97,470,0.97,2150,0.97,0,0.97,50,0.97,290,0.97
51-9082,0,0.45,,,0,0.45,0,0.45,150,0.45,,,0,0.45,740,0.45,,,0,0.45,60,0.45
51-9083,110,0.97,200,0.97,730,0.97,590,0.97,380,0.97,0,0.97,850,0.97,3180,0.97,,,60,0.97,180,0.97
51-9111,500,0.98,1100,0.98,1940,0.98,1610,0.98,3000,0.98,410,0.98,3140,0.98,15110,0.98,400,0.98,670,0.98,2280,0.98
51-9121,250,0.91,100,0.91,270,0.91,100,0.91,320,0.91,140,0.91,0,0.91,2000,0.91,60,0.91,190,0.91,410,0.91
51-9122,60,0.69,160,0.69,120,0.69,340,0.69,470,0.69,60,0.69,0,0.69,1580,0.69,30,0.69,80,0.69,0,0.69
51-9123,0,0.92,,,90,0.92,0,0.92,170,0.92,0,0.92,0,0.92,690,0.92,,,70,0.92,0,0.92
51-9141,,,,,,,,,,,,,,,420,0.88,,,160,0.88,,
51-9151,0,0.99,70,0.99,100,0.99,180,0.99,130,0.99,,,1040,0.99,1760,0.99,,,,,100,0.99
51-9191,110,0.95,,,,,,,0,0.95,,,0,0.95,350,0.95,,,0,0.95,60,0.95
51-9192,0,0.81,0,0.81,0,0.81,0,0.81,0,0.81,0,0.81,0,0.81,400,0.81,,,0,0.81,130,0.81
51-9193,,,,,70,0.93,,,,,,,,,0,0.93,,,,,0,0.93
51-9194,,,0,0.98,0,0.98,0,0.98,0,0.98,0,0.98,0,0.98,290,0.98,,,,,0,0.98
51-9195,70,0.9,60,0.9,170,0.9,0,0.9,180,0.9,0,0.9,0,0.9,1190,0.9,,,190,0.9,,
51-9196,790,0.67,630,0.67,460,0.67,0,0.67,620,0.67,,,610,0.67,4770,0.67,0,0.67,90,0.67,430,0.67
51-9198,580,0.66,410,0.66,900,0.66,1000,0.66,1690,0.66,350,0.66,3310,0.66,10350,0.66,380,0.66,380,0.66,1250,0.66
53-1011,,,,,0,0.066,0,0.066,,,,,0,0.066,300,0.066,,,,,,
