,Capital Region,,Central New York Region,,Finger Lakes Region,,Hudson Valley Region,,Long Island Region,,Mohawk Valley Region,,New York City Region,,New York State,,North Country Region,,Southern Tier Region,,Western New York Region,
SOC_CODE,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability
15-1142,1610,0.03,730,0.03,1610,0.03,2100,0.03,2860,0.03,310,0.03,12690,0.03,24600,0.03,210,0.03,630,0.03,1520,0.03
15-2011,140,0.21,,,,,,,,,0,0.21,1680,0.21,2410,0.21,,,0,0.21,0,0.21
15-2021,,,,,,,,,,,,,,,0,0.047,,,,,,
15-2031,190,0.035,150,0.035,170,0.035,510,0.035,220,0.035,60,0.035,4010,0.035,5700,0.035,,,0,0.035,320,0.035
15-2041,90,0.22,0,0.22,0,0.22,0,0.22,0,0.22,,,690,0.22,1040,0.22,,,0,0.22,0,0.22
15-2091,,,,,,,,,,,,,,,0,0.99,,,,,,
17-1011,350,0.018,180,0.018,260,0.018,,,,,0,0.018,9820,0.018,12550,0.018,60,0.018,90,0.018,390,0.018
17-1012,160,0.045,80,0.045,0,0.045,0,0.045,200,0.045,0,0.045,590,0.045,1470,0.045,,,,,50,0.045
17-1021,,,0,0.88,,,0,0.88,,,,,0,0.88,0,0.88,,,,,,
17-1022,140,0.38,0,0.38,150,0.38,230,0.38,270,0.38,,,560,0.38,1680,0.38,40,0.38,0,0.38,80,0.38
17-2011,,,50,0.017,,,0,0.017,140,0.017,,,0,0.017,380,0.017,,,0,0.017,,
17-2031,50,0.037,,,270,0.037,0,0.037,0,0.037,,,0,0.037,780,0.037,,,0,0.037,,
17-2041,270,0.017,0,0.017,310,0.017,160,0.017,0,0.017,,,0,0.017,1130,0.017,,,50,0.017,170,0.017
17-2051,1310,0.019,570,0.019,990,0.019,1690,0.019,1880,0.019,190,0.019,7060,0.019,15450,0.019,210,0.019,440,0.019,800,0.019
17-2061,70,0.22,130,0.22,310,0.22,0,0.22,170,0.22,70,0.22,350,0.22,1630,0.22,,,,,0,0.22
17-2071,1600,0.1,650,0.1,1310,0.1,2160,0.1,1420,0.1,160,0.1,2810,0.1,11270,0.1,20,0.1,470,0.1,570,0.1
17-2072,230,0.025,170,0.025,370,0.025,310,0.025,970,0.025,,,610,0.025,3450,0.025,20,0.025,220,0.025,180,0.025
17-2081,540,0.018,240,0.018,130,0.018,300,0.018,470,0.018,60,0.018,1020,0.018,3290,0.018,90,0.018,90,0.018,310,0.018
17-2111,230,0.028,50,0.028,,,320,0.028,210,0.028,0,0.028,530,0.028,1830,0.028,20,0.028,100,0.028,120,0.028
17-2112,1390,0.029,760,0.029,1700,0.029,1320,0.029,1180,0.029,160,0.029,1150,0.029,10290,0.029,110,0.029,1120,0.029,1370,0.029
17-2121,,,,,,,,,,,,,0,0.01,0,0.01,,,,,,
17-2131,280,0.021,50,0.021,80,0.021,0,0.021,0,0.021,0,0.021,0,0.021,1220,0.021,0,0.021,,,,
17-2141,1600,0.011,730,0.011,1680,0.011,990,0.011,1360,0.011,220,0.011,2210,0.011,11320,0.011,90,0.011,810,0.011,1490,0.011
17-2151,,,,,,,,,,,,,,,0,0.14,,,,,,
17-2161,,,0,0.07,70,0.07,,,,,,,,,540,0.07,,,,,,
17-2199,240,0.014,230,0.014,370,0.014,,,390,0.014,,,680,0.014,2770,0.014,20,0.014,0,0.014,180,0.014
17-3011,440,0.52,200,0.52,270,0.52,560,0.52,1020,0.52,0,0.52,3280,0.52,6210,0.52,30,0.52,110,0.52,250,0.52
17-3012,80,0.81,120,0.81,190,0.81,0,0.81,180,0.81,,,600,0.81,1480,0.81,,,90,0.81,110,0.81
17-3013,220,0.68,200,0.68,320,0.68,250,0.68,560,0.68,60,0.68,1170,0.68,3750,0.68,30,0.68,160,0.68,750,0.68
17-3021,,,,,,,,,,,,,,,0,0.48,,,,,,
17-3022,190,0.75,100,0.75,140,0.75,370,0.75,320,0.75,0,0.75,460,0.75,1840,0.75,20,0.75,60,0.75,110,0.75
17-3023,470,0.84,320,0.84,880,0.84,900,0.84,1040,0.84,60,0.84,1270,0.84,5880,0.84,40,0.84,440,0.84,430,0.84
17-3024,,,,,60,0.81,0,0.81,110,0.81,,,,,530,0.81,,,0,0.81,0,0.81
17-3025,90,0.25,80,0.25,90,0.25,0,0.25,210,0.25,,,400,0.25,1220,0.25,0,0.25,0,0.25,0,0.25
17-3026,510,0.03,130,0.03,700,0.03,270,0.03,200,0.03,0,0.03,0,0.03,3170,0.03,40,0.03,620,0.03,280,0.03
17-3027,270,0.38,100,0.38,190,0.38,0,0.38,290,0.38,0,0.38,0,0.38,1550,0.38,,,180,0.38,150,0.38
17-3029,320,0.24,80,0.24,230,0.24,0,0.24,110,0.24,0,0.24,550,0.24,2030,0.24,70,0.24,,,140,0.24
17-3031,90,0.96,100,0.96,,,210,0.96,530,0.96,0,0.96,0,0.96,1480,0.96,50,0.96,90,0.96,90,0.96
19-1011,,,,,,,,,,,,,,,0,0.061,,,150,0.061,,
19-1012,,,0,0.077,90,0.077,140,0.077,0,0.077,,,0,0.077,580,0.077,,,60,0.077,70,0.077
19-1013,,,,,0,0.021,,,0,0.021,,,0,0.021,0,0.021,,,50,0.021,0,0.021
19-1021,210,0.027,,,60,0.027,0,0.027,230,0.027,,,0,0.027,1530,0.027,0,0.027,90,0.027,,
19-1022,0,0.012,0,0.012,0,0.012,0,0.012,190,0.012,,,260,0.012,1340,0.012,,,70,0.012,0,0.012
19-1023,,,,,,,0,0.3,0,0.3,0,0.3,0,0.3,430,0.3,30,0.3,50,0.3,0,0.3
19-1029,0,0.015,0,0.015,0,0.015,,,120,0.015,,,250,0.015,620,0.015,,,0,0.015,60,0.015
19-1031,0,0.016,0,0.016,0,0.016,,,0,0.016,0,0.016,0,0.016,,,20,0.016,0,0.016,0,0.016
19-1032,0,0.0081,,,,,,,,,0,0.0081,,,0,0.0081,20,0.0081,50,0.0081,0,0.0081
19-1041,,,,,,,0,0.2,0,0.2,,,0,0.2,0,0.2,,,,,,
19-1042,610,0.0045,,,290,0.0045,720,0.0045,1120,0.0045,0,0.0045,5370,0.0045,9900,0.0045,,,0,0.0045,640,0.0045
19-2012,0,0.1,0,0.1,,,0,0.1,,,0,0.1,0,0.1,1070,0.1,,,220,0.1,,
19-2021,90,0.67,,,,,0,0.67,0,0.67,,,0,0.67,470,0.67,,,,,,
19-2031,400,0.1,110,0.1,160,0.1,0,0.1,1070,0.1,0,0.1,930,0.1,4170,0.1,0,0.1,170,0.1,270,0.1
19-2032,70,0.021,0,0.021,,,0,0.021,0,0.021,,,,,370,0.021,,,,,,
19-2041,500,0.033,230,0.033,170,0.033,480,0.033,630,0.033,0,0.033,1210,0.033,3700,0.033,80,0.033,80,0.033,270,0.033
19-2042,170,0.63,50,0.63,0,0.63,0,0.63,110,0.63,0,0.63,290,0.63,940,0.63,,,,,60,0.63
19-2043,0,0.014,,,,,,,100,0.014,,,,,0,0.014,,,,,0,0.014
19-2099,520,0.43,,,50,0.43,0,0.43,,,,,310,0.43,970,0.43,,,,,,
19-3011,70,0.43,,,0,0.43,,,0,0.43,0,0.43,380,0.43,570,0.43,,,0,0.43,0,0.43
19-3022,,,,,50,0.23,,,,,,,290,0.23,620,0.23,,,,,,
19-3031,620,0.0047,530,0.0047,670,0.0047,1830,0.0047,1580,0.0047,190,0.0047,4710,0.0047,11230,0.0047,210,0.0047,330,0.0047,570,0.0047
19-3039,,,,,0,0.0043,0,0.0043,100,0.0043,,,270,0.0043,610,0.0043,20,0.0043,,,,
19-3041,,,,,,,,,,,,,270,0.059,290,0.059,,,,,,
19-3051,130,0.13,50,0.13,120,0.13,190,0.13,0,0.13,0,0.13,680,0.13,1430,0.13,20,0.13,0,0.13,100,0.13
19-3091,,,,,,,,,,,,,0,0.0077,0,0.0077,,,,,,
19-3092,,,,,,,,,,,,,,,0,0.25,,,,,,
19-3093,80,0.44,0,0.44,70,0.44,0,0.44,0,0.44,60,0.44,,,460,0.44,60,0.44,0,0.44,0,0.44
19-3094,0,0.039,,,,,,,,,,,0,0.039,0,0.039,,,,,,
19-3099,210,0.04,70,0.04,70,0.04,0,0.04,0,0.04,,,1830,0.04,2470,0.04,50,0.04,0,0.04,0,0.04
19-4011,0,0.97,,,60,0.97,0,0.97,,,,,0,0.97,930,0.97,20,0.97,560,0.97,110,0.97
19-4021,420,0.3,240,0.3,120,0.3,410,0.3,390,0.3,0,0.3,1110,0.3,3440,0.3,60,0.3,350,0.3,270,0.3
19-4031,440,0.57,,,150,0.57,0,0.57,480,0.57,0,0.57,500,0.57,2710,0.57,70,0.57,200,0.57,310,0.57
19-4041,,,,,,,,,0,0.91,,,,,0,0.91,,,,,0,0.91
