SOC_CODE,Capital Region Employment,Capital Region Probability,Central New York Region Employment,Central New York Region Probability,Finger Lakes Region Employment,Finger Lakes Region Probability,Hudson Valley Region Employment,Hudson Valley Region Probability,Long Island Region Employment,Long Island Region Probability,Mohawk Valley Region Employment,Mohawk Valley Region Probability,New York City Region Employment,New York City Region Probability,New York State Employment,New York State Probability,North Country Region Employment,North Country Region Probability,Southern Tier Region Employment,Southern Tier Region,Western New York Region Employment,Western New York Region Probability
27-1021,80,0,50,0,250,0,330,0,230,0,0,0,1730,0,2910,0,0,0,,,110,0
27-1022,,,,,,,0,0,230,0,0,0,7020,0,7590,0,,,,,0,0
27-1023,180,0,100,0,190,0,270,0,0,0,,,840,0,2570,0,50,0,110,0,280,0
27-1024,640,0,420,0,860,0,1350,0,1740,0,190,0,14790,0,21440,0,100,0,300,0,860,0
27-1025,90,0,0,0,150,0,,,280,0,,,1890,0,2970,0,,,60,0,160,0
27-1026,160,0,190,0,340,0,690,0,1690,0,50,0,2980,0,6680,0,0,0,160,0,160,0
27-1027,,,0,0,0,0,0,0,0,0,,,1830,0,2210,0,,,,,60,0
27-2012,330,0,160,0,310,0,430,0,530,0,0,0,19930,0,23490,0,50,0,170,0,240,0
27-2021,,,,,0,0,0,0,,,,,0,0,,,,,,,,
27-2022,550,0,450,0,970,0,1620,0,1550,0,340,0,2580,0,9730,0,340,0,460,0,860,0
27-2023,0,1,0,1,0,1,0,1,,,,,,,,,,,,,0,1
27-2032,,,,,,,,,0,0,,,0,0,0,0,,,,,,
27-2041,170,0,130,0,310,0,0,0,,,120,0,1340,0,3480,0,100,0,140,0,210,0
27-3011,150,0,0,0,130,0,0,0,0,0,,,1130,0,2030,0,60,0,,,140,0
27-3012,50,1,50,1,0,1,0,1,110,1,,,0,1,620,1,,,0,1,,
27-3021,,,0,0,,,,,,,,,810,0,,,,,,,,
27-3022,140,0,0,0,70,0,280,0,310,0,0,0,2940,0,4050,0,50,0,0,0,,
27-3031,1430,0,560,0,1020,0,860,0,1400,0,160,0,18630,0,25440,0,150,0,440,0,690,0
27-3041,530,0,170,0,360,0,640,0,1150,0,120,0,16060,0,19890,0,40,0,190,0,310,0
27-3042,120,1,80,1,230,1,130,1,320,1,0,1,1290,1,2390,1,0,1,50,1,130,1
